date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:24:03	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2031%20May%202024%2016:54:04%20GMT	http://oldisgold.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	(from https://oldisgold.b12sites.com/index)
22:24:06	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2031%20May%202024%2016:54:07%20GMT	http://oldisgold.b12sites.com/assets/fonts/fontawesome-webfont-b06871f281fee6b241d60582ae9369b9.ttf	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/fontawesome-webfont-b06871f281fee6b241d60582ae9369b9.ttf	(from https://oldisgold.b12sites.com/index)
22:24:07	98024/98024	---M--	200	added ('OK')	font/woff	date:Fri,%2031%20May%202024%2016:54:07%20GMT	https://oldisgold.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	(from https://oldisgold.b12sites.com/index)
22:24:09	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2031%20May%202024%2016:54:10%20GMT	http://oldisgold.b12sites.com/assets/fonts/fontawesome-webfont-912ec66d7572ff821749319396470bde.svg	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/fontawesome-webfont-912ec66d7572ff821749319396470bde.svg	(from https://oldisgold.b12sites.com/index)
22:24:10	165548/165548	---M--	200	added ('OK')	font/ttf	date:Fri,%2031%20May%202024%2016:54:10%20GMT	https://oldisgold.b12sites.com/assets/fonts/fontawesome-webfont-b06871f281fee6b241d60582ae9369b9.ttf	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/fontawesome-webfont-b06871f281fee6b241d60582ae9369b9.ttf	(from https://oldisgold.b12sites.com/index)
22:24:11	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2031%20May%202024%2016:54:12%20GMT	http://oldisgold.b12sites.com/assets/fonts/ajax-loader-c5cd7f5300576ab4c88202b42f6ded62.gif	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/ajax-loader-c5cd7f5300576ab4c88202b42f6ded62.gif	(from https://oldisgold.b12sites.com/index)
22:24:12	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2031%20May%202024%2016:54:12%20GMT	https://oldisgold.b12sites.com/assets/fonts/fontawesome-webfont-912ec66d7572ff821749319396470bde.svg	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/fontawesome-webfont-912ec66d7572ff821749319396470bde.svg	(from https://oldisgold.b12sites.com/index)
22:24:13	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2031%20May%202024%2016:54:14%20GMT	http://oldisgold.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475.eot	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475.eot	(from https://oldisgold.b12sites.com/index)
22:24:13	4178/4178	---M--	200	added ('OK')	image/gif	date:Fri,%2031%20May%202024%2016:54:14%20GMT	https://oldisgold.b12sites.com/assets/fonts/ajax-loader-c5cd7f5300576ab4c88202b42f6ded62.gif	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/ajax-loader-c5cd7f5300576ab4c88202b42f6ded62.gif	(from https://oldisgold.b12sites.com/index)
22:24:14	2048/2048	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2031%20May%202024%2016:54:16%20GMT	https://oldisgold.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475.eot	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475.eot	(from https://oldisgold.b12sites.com/index)
22:24:15	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2031%20May%202024%2016:54:16%20GMT	http://oldisgold.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475.eot?	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475d41d.eot	(from https://oldisgold.b12sites.com/index)
22:24:16	2048/2048	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2031%20May%202024%2016:54:17%20GMT	https://oldisgold.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475.eot?	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475d41d.eot	(from https://oldisgold.b12sites.com/index)
22:24:16	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2031%20May%202024%2016:54:18%20GMT	http://oldisgold.b12sites.com/assets/fonts/slick-b7c9e1e479de3b53f1e4e30ebac2403a.woff	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/slick-b7c9e1e479de3b53f1e4e30ebac2403a.woff	(from https://oldisgold.b12sites.com/index)
22:24:18	1380/1380	---M--	200	added ('OK')	font/woff	date:Fri,%2031%20May%202024%2016:54:19%20GMT	https://oldisgold.b12sites.com/assets/fonts/slick-b7c9e1e479de3b53f1e4e30ebac2403a.woff	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/slick-b7c9e1e479de3b53f1e4e30ebac2403a.woff	(from https://oldisgold.b12sites.com/index)
22:24:18	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2031%20May%202024%2016:54:19%20GMT	http://oldisgold.b12sites.com/assets/fonts/slick-d41f55a78e6f49a5512878df1737e58a.ttf	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/slick-d41f55a78e6f49a5512878df1737e58a.ttf	(from https://oldisgold.b12sites.com/index)
22:24:20	1892/1892	---M--	200	added ('OK')	font/ttf	date:Fri,%2031%20May%202024%2016:54:21%20GMT	https://oldisgold.b12sites.com/assets/fonts/slick-d41f55a78e6f49a5512878df1737e58a.ttf	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/slick-d41f55a78e6f49a5512878df1737e58a.ttf	(from https://oldisgold.b12sites.com/index)
22:24:20	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2031%20May%202024%2016:54:21%20GMT	http://oldisgold.b12sites.com/assets/fonts/slick-f97e3bbf73254b0112091d0192f17aec.svg	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/slick-f97e3bbf73254b0112091d0192f17aec.svg	(from https://oldisgold.b12sites.com/index)
22:24:22	2152/2152	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2031%20May%202024%2016:54:23%20GMT	https://oldisgold.b12sites.com/assets/fonts/slick-f97e3bbf73254b0112091d0192f17aec.svg	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/slick-f97e3bbf73254b0112091d0192f17aec.svg	(from https://oldisgold.b12sites.com/index)
22:24:22	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2031%20May%202024%2016:54:23%20GMT	http://oldisgold.b12sites.com/gallery	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/gallery	(from https://oldisgold.b12sites.com/index)
22:24:24	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2031%20May%202024%2016:54:26%20GMT	http://oldisgold.b12sites.com/window.location	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/window.location	(from https://oldisgold.b12sites.com/index)
22:24:25	268714/268714	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20May%202024%2016:54:25%20GMT	https://oldisgold.b12sites.com/gallery	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/gallery.html	(from https://oldisgold.b12sites.com/index)
22:24:26	979/979	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2031%20May%202024%2016:54:27%20GMT	https://oldisgold.b12sites.com/window.location	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/window.2f.delayed	(from https://oldisgold.b12sites.com/index)
22:24:28	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2031%20May%202024%2016:54:29%20GMT	http://oldisgold.b12sites.com/laptop-repair	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/laptop-repair	(from https://oldisgold.b12sites.com/index)
22:24:30	267261/267261	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20May%202024%2016:54:30%20GMT	https://oldisgold.b12sites.com/laptop-repair	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/laptop-repair.html	(from https://oldisgold.b12sites.com/index)
22:24:30	393069/393069	---M--	200	added ('OK')	image/jpeg	etag:%22e7a78adcb25c25a6ec91d3d0d5f76015%22	https://cdn.b12.io/client_media/syBBRnu1/6ba03860-1be5-11ef-9558-0242ac110002-jpg-hero_image.jpeg	C:/Users/hp/Documents/Visual%20studio/new/cdn.b12.io/client_media/syBBRnu1/6ba03860-1be5-11ef-9558-0242ac110002-jpg-hero_image.jpg	(from https://oldisgold.b12sites.com/index)
22:24:31	393069/393069	---M--	200	added ('OK')	image/jpeg	etag:%22e7a78adcb25c25a6ec91d3d0d5f76015%22	https://cdn.b12.io/client_media/syBBRnu1/73910aae-1be5-11ef-9627-0242ac110002-jpg-hero_image.jpeg	C:/Users/hp/Documents/Visual%20studio/new/cdn.b12.io/client_media/syBBRnu1/73910aae-1be5-11ef-9627-0242ac110002-jpg-hero_image.jpg	(from https://oldisgold.b12sites.com/index)
22:24:32	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2031%20May%202024%2016:54:33%20GMT	http://oldisgold.b12sites.com/laptop-buyback	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/laptop-buyback	(from https://oldisgold.b12sites.com/index)
